code,region,sub-region
SSD,Africa,Sub-Saharan Africa
ESP,Europe,Southern Europe
LKA,Asia,Southern Asia
SDN,Africa,Northern Africa
SUR,Americas,Latin America and the Caribbean
SJM,Europe,Northern Europe
SWE,Europe,Northern Europe
SUI,Europe,Western Europe
SYR,Asia,Western Asia
TPE,Asia,Eastern Asia
TJK,Asia,Central Asia
TZA,Africa,Sub-Saharan Africa
THA,Asia,South-eastern Asia
TLS,Asia,South-eastern Asia
TOG,Africa,Sub-Saharan Africa
TKL,Oceania,Polynesia
TON,Oceania,Polynesia
TTO,Americas,Latin America and the Caribbean
TUN,Africa,Northern Africa
TUR,Asia,Western Asia
TKM,Asia,Central Asia
TCA,Americas,Latin America and the Caribbean
TUV,Oceania,Polynesia
UGA,Africa,Sub-Saharan Africa
UKR,Europe,Eastern Europe
ARE,Asia,Western Asia
GBR,Europe,Northern Europe
USA,Americas,Northern America
UMI,Oceania,Micronesia
URU,Americas,Latin America and the Caribbean
UZB,Asia,Central Asia
VUT,Oceania,Melanesia
VEN,Americas,Latin America and the Caribbean
VNM,Asia,South-eastern Asia
VGB,Americas,Latin America and the Caribbean
VIR,Americas,Latin America and the Caribbean
WLF,Oceania,Polynesia
ESH,Africa,Northern Africa
YEM,Asia,Western Asia
ZMB,Africa,Sub-Saharan Africa
ZIM,Africa,Sub-Saharan Africa
